atlas_id,region,region_name,site_code,location,lat_dmm,lon_dmm,lat,lon,species_codes,species,count_class,tidal_use,tidal_use_full,description
132,5,Olympic Coast-North,05.04,Reef NE of Sandy Island,47 59.48,124 40.82,47.99133,-124.68033,PV,Harbor Seal,100-500,LOW,Low tide,Intertidal area off point northeast of Sandy Island.
133,5,Olympic Coast-North,05.05,Sea Lion Rock,47 59.59,124 43.45,47.99317,-124.72417,"PV,EJ,ZC",Harbor Seal; Steller Sea Lion; California Sea Lion,<100,LOW,Low tide,On inshore ledges of Sea Lion Rock (USFWS ID 271 and 272) area.
134,5,Olympic Coast-North,05.06,Carroll Island,48 00.34,124 43.33,48.00567,-124.72217,"EJ,ZC",Steller Sea Lion; California Sea Lion,100-500,ALL,All tidal states,On ledges and tunnel areas around entire island.
135,5,Olympic Coast-North,05.07,E of Jagged Island,47 59.78,124 41.48,47.99633,-124.69133,PV,Harbor Seal,100-500,LOW,Low tide,On intertidal reef areas east of Bald Island (Jagged Islet).
136,5,Olympic Coast-North,05.08,S Cedar Creek Area,48 01.22,124 41.11,48.02033,-124.68517,PV,Harbor Seal,<100,LOW,Low tide,Reef areas south of Cedar Creek.
137,5,Olympic Coast-North,05.08,N Cedar Creek Area,48 01.78,124 41.19,48.02967,-124.6865,PV,Harbor Seal,100-500,LOW,Low tide,Reef areas off stack just north of Cedar Creek.
138,5,Olympic Coast-North,05.08,Norwegian Memorial Area,48 01.52,124 41.04,48.02533,-124.684,PV,Harbor Seal,100-500,LOW,Low tide,Reef areas north of Cedar Creek off Norwegian Memorial.
139,5,Olympic Coast-North,05.09,S Yellow Banks,48 05.14,124 41.83,48.08567,-124.69717,PV,Harbor Seal,<100,LOW,Low tide,Reef areas just south of Yellow Banks.
140,5,Olympic Coast-North,05.10,Sand Point Area,48 07.54,124 43.81,48.12567,-124.73017,PV,Harbor Seal,<100,LOW,Low tide,Reef complex offshore from Sand Point.
141,5,Olympic Coast-North,05.10,Sand Point Area,48 07.55,124 42.79,48.12583,-124.71317,PV,Harbor Seal,100-500,LOW,Low tide,Reef complex around Sand Point.
142,5,Olympic Coast-North,05.11,E of White Rock,48 08.39,124 43.16,48.13983,-124.71933,PV,Harbor Seal,<100,LOW,Low tide,Reef complex inshore from White Rock.
